Rebar 1 
 X,Y,Z
-0.9273,-0.2001,0.3400
-0.9237,-0.2001,0.3400
-0.9310,-0.1992,0.3400
-0.9200,-0.1992,0.3400
-0.9310,-0.1984,0.3400
-0.9163,-0.1984,0.3400
-0.9310,-0.1975,0.3400
-0.9127,-0.1975,0.3400
-0.9090,-0.1975,0.3400
-0.9053,-0.1975,0.3400
-0.9017,-0.1975,0.3400
-0.9310,-0.1966,0.3400
-0.9310,-0.1958,0.3400
-0.9310,-0.1949,0.3400
-0.9310,-0.1940,0.3400
-0.9310,-0.1932,0.3400
-0.9310,-0.1923,0.3400
-0.9310,-0.1914,0.3400
-0.9310,-0.1906,0.3400
-0.9310,-0.1897,0.3400
-0.9310,-0.1888,0.3400
-0.9310,-0.1880,0.3400
-0.9310,-0.1871,0.3400
-0.9273,-0.1862,0.3400
-0.9273,-0.1854,0.3400
-0.9273,-0.1845,0.3400
-0.9273,-0.1837,0.3400
-0.9273,-0.1828,0.3400
-0.9273,-0.1819,0.3400
-0.9273,-0.1811,0.3400
-0.9273,-0.1802,0.3400
-0.9273,-0.1793,0.3400
-0.9273,-0.1785,0.3400
-0.9273,-0.1776,0.3400
-0.9273,-0.1767,0.3400
-0.9273,-0.1759,0.3400
-0.9273,-0.1750,0.3400
-0.9273,-0.1741,0.3400
-0.9237,-0.1733,0.3400
-0.9237,-0.1724,0.3400
-0.9237,-0.1715,0.3400
-0.9237,-0.1707,0.3400
-0.9237,-0.1698,0.3400
-0.9237,-0.1689,0.3400
-0.9237,-0.1681,0.3400
-0.9237,-0.1672,0.3400
-0.9237,-0.1663,0.3400
-0.9237,-0.1655,0.3400
-0.9237,-0.1646,0.3400
-0.9237,-0.1637,0.3400
-0.9237,-0.1629,0.3400
-0.9237,-0.1620,0.3400
-0.9237,-0.1611,0.3400
-0.9237,-0.1603,0.3400
-0.9237,-0.1594,0.3400
-0.9273,-0.1585,0.3400
-0.9273,-0.1577,0.3400
-0.9273,-0.1568,0.3400
-0.9273,-0.1560,0.3400
-0.9273,-0.1551,0.3400
-0.9273,-0.1542,0.3400
-0.9273,-0.1534,0.3400
-0.9237,-0.1525,0.3400
-0.9237,-0.1516,0.3400
-0.9237,-0.1508,0.3400
-0.9237,-0.1499,0.3400
-0.9200,-0.1490,0.3400
-0.9200,-0.1482,0.3400
-0.9200,-0.1473,0.3400
-0.9200,-0.1464,0.3400
-0.9200,-0.1456,0.3400
